placekey,location_name,street_address,city,date_range_start,latitude,longitude,raw_visit_counts,Rank,same_day_brand,same_day_brand_value,same_month_brand,same_month_brand_value
22c-222@8dg-p4p-fcq,Chipotle Mexican Grill,2085 Tamiami Trl N,Naples,2021-02-01T00:00:00-05:00,26.172008,-81.800831,530,1,McDonald's,7,Walmart,49
22c-222@8dg-p4p-fcq,Chipotle Mexican Grill,2085 Tamiami Trl N,Naples,2021-02-01T00:00:00-05:00,26.172008,-81.800831,530,2,Shell Oil,7,McDonald's,46
22c-222@8dg-p4p-fcq,Chipotle Mexican Grill,2085 Tamiami Trl N,Naples,2021-02-01T00:00:00-05:00,26.172008,-81.800831,530,3,Walgreens,5,Shell Oil,40
22c-222@8dg-p4p-fcq,Chipotle Mexican Grill,2085 Tamiami Trl N,Naples,2021-02-01T00:00:00-05:00,26.172008,-81.800831,530,4,Walmart,5,RaceTrac,38
22c-222@8dg-p4p-fcq,Chipotle Mexican Grill,2085 Tamiami Trl N,Naples,2021-02-01T00:00:00-05:00,26.172008,-81.800831,530,5,RaceTrac,5,Publix Super Markets,38
224-222@8fc-9c3-5j9,Chipotle Mexican Grill,6615 N Grand Pkwy W Ste 300,Spring,2021-05-01T00:00:00-05:00,30.08864,-95.521543,560,1,Target,8,Chick-fil-A,69
224-222@8fc-9c3-5j9,Chipotle Mexican Grill,6615 N Grand Pkwy W Ste 300,Spring,2021-05-01T00:00:00-05:00,30.08864,-95.521543,560,2,Chick-fil-A,7,Walmart,62
224-222@8fc-9c3-5j9,Chipotle Mexican Grill,6615 N Grand Pkwy W Ste 300,Spring,2021-05-01T00:00:00-05:00,30.08864,-95.521543,560,3,H-E-B,6,H-E-B,56
224-222@8fc-9c3-5j9,Chipotle Mexican Grill,6615 N Grand Pkwy W Ste 300,Spring,2021-05-01T00:00:00-05:00,30.08864,-95.521543,560,4,Walmart,5,Whataburger,56
224-222@8fc-9c3-5j9,Chipotle Mexican Grill,6615 N Grand Pkwy W Ste 300,Spring,2021-05-01T00:00:00-05:00,30.08864,-95.521543,560,5,Starbucks,4,Target,48
222-222@63r-4jk-zxq,Chipotle Mexican Grill,2 Watkins Park Dr,Kettering,2021-06-01T00:00:00-04:00,38.899964,-76.791647,258,1,Six Flags,26,McDonald's,71
222-222@63r-4jk-zxq,Chipotle Mexican Grill,2 Watkins Park Dr,Kettering,2021-06-01T00:00:00-04:00,38.899964,-76.791647,258,2,McDonald's,10,Walmart,51
222-222@63r-4jk-zxq,Chipotle Mexican Grill,2 Watkins Park Dr,Kettering,2021-06-01T00:00:00-04:00,38.899964,-76.791647,258,3,Wendy's,8,Chick-fil-A,44
222-222@63r-4jk-zxq,Chipotle Mexican Grill,2 Watkins Park Dr,Kettering,2021-06-01T00:00:00-04:00,38.899964,-76.791647,258,4,Sunoco,6,7-Eleven,43
222-222@63r-4jk-zxq,Chipotle Mexican Grill,2 Watkins Park Dr,Kettering,2021-06-01T00:00:00-04:00,38.899964,-76.791647,258,5,7-Eleven,5,Shell Oil,41
zzw-222@628-x2r-cdv,Chipotle Mexican Grill,2165 Dixwell Ave Ste 2,Hamden,2020-07-01T00:00:00-04:00,41.368865,-72.918355,230,1,Walmart,8,Dunkin',57
zzw-222@628-x2r-cdv,Chipotle Mexican Grill,2165 Dixwell Ave Ste 2,Hamden,2020-07-01T00:00:00-04:00,41.368865,-72.918355,230,2,Dunkin',7,McDonald's,53
zzw-222@628-x2r-cdv,Chipotle Mexican Grill,2165 Dixwell Ave Ste 2,Hamden,2020-07-01T00:00:00-04:00,41.368865,-72.918355,230,3,McDonald's,6,Walmart,45
zzw-222@628-x2r-cdv,Chipotle Mexican Grill,2165 Dixwell Ave Ste 2,Hamden,2020-07-01T00:00:00-04:00,41.368865,-72.918355,230,4,The Home Depot,4,Stop & Shop,42
zzw-222@628-x2r-cdv,Chipotle Mexican Grill,2165 Dixwell Ave Ste 2,Hamden,2020-07-01T00:00:00-04:00,41.368865,-72.918355,230,5,Stop & Shop,4,Starbucks,30
22f-222@5pw-68m-wkz,Chipotle Mexican Grill,7140 Cermak Rd,Berwyn,2020-08-01T00:00:00-05:00,41.850685,-87.802817,251,1,McDonald's,9,McDonald's,65
22f-222@5pw-68m-wkz,Chipotle Mexican Grill,7140 Cermak Rd,Berwyn,2020-08-01T00:00:00-05:00,41.850685,-87.802817,251,2,Ross Stores,6,Walmart,53
22f-222@5pw-68m-wkz,Chipotle Mexican Grill,7140 Cermak Rd,Berwyn,2020-08-01T00:00:00-05:00,41.850685,-87.802817,251,3,Shell Oil,6,Walgreens,46
22f-222@5pw-68m-wkz,Chipotle Mexican Grill,7140 Cermak Rd,Berwyn,2020-08-01T00:00:00-05:00,41.850685,-87.802817,251,4,Walgreens,5,Target,43
